"Key","Issue Type","Parent","Summary","Status","Assignee","Start date","Inferred start date","Due date","Inferred due date","Issue color","Priority","Labels"
"AEIC-1","Epic","","Quản lý Khách hàng (Leads Management)","In Progress","","2026/01/20","2026/01/20","2026/01/31","2026/01/31","purple","High","crm,leads"
"AEIC-6","Task","AEIC-1","✅ Nhập dữ liệu khách hàng (Import Excel) thông minh - Tự động phát hiện trùng lặp","Done","","","","","","green","Medium","implemented,excel,import"
"AEIC-7","Story","AEIC-1","Chấm điểm tiềm năng (Lead Scoring) - Dùng AI tự động đánh giá mức độ tìm năng của khách","To Do","","","","","","purple","High","ai,scoring,todo"
"AEIC-8","Task","AEIC-1","Thêm bộ lọc nâng cao (Quốc gia, Ngành nghề, Trạng thái) vào LeadsView","To Do","","","","","","orange","Low","improvement,filters"
"AEIC-2","Epic","","Hệ thống Email & Giao tiếp (Smart Communication)","In Progress","","2026/01/20","2026/01/20","2026/01/31","2026/01/31","purple","High","email,communication"
"AEIC-9","Story","AEIC-2","✅ Theo dõi tương tác Email (Tracking) - Reply tracking đã hoàn thành","Done","","","","","","green","Medium","implemented,email,tracking"
"AEIC-10","Story","AEIC-2","Gợi ý phản hồi nhanh (Smart Reply) - AI đọc email và soạn sẵn phương án trả lời","To Do","","","","","","purple","Medium","ai,smart-reply,todo"
"AEIC-11","Story","AEIC-2","Cá nhân hóa Email hàng loạt - Thêm merge fields và batch personalization","To Do","","","","","","orange","Medium","improvement,email,personalization"
"AEIC-3","Epic","","Dashboard & Báo cáo (Analytics)","In Progress","","2026/01/20","2026/01/20","2026/01/31","2026/01/31","purple","High","analytics,dashboard"
"AEIC-12","Story","AEIC-3","✅ Báo cáo hiệu quả chiến dịch - Reply Rate analytics hoàn chỉnh","Done","","","","","","green","High","implemented,dashboard,analytics"
"AEIC-13","Task","AEIC-3","Mobile Dashboard - Tối ưu giao diện cho điện thoại","To Do","","","","","","purple","Medium","mobile,ux,todo"
"AEIC-4","Epic","","Trải nghiệm Người dùng (UX/UI Polish)","To Do","","2026/01/20","2026/01/20","2026/01/31","2026/01/31","purple","Medium","ux,ui"
"AEIC-14","Task","AEIC-4","Nâng cấp giao diện Premium - Glassmorphism, màu sắc sang trọng Ariyana","To Do","","","","","","purple","Low","ui,design,todo"
"AEIC-15","Task","AEIC-4","Hiệu ứng tải trang (Skeleton Loading) - Thay spinner bằng skeleton screens","To Do","","","","","","purple","Low","ui,loading,todo"
"AEIC-16","Task","AEIC-4","✅ Tối ưu thanh điều hướng (Sidebar) - Thu gọn/mở rộng đã hoàn thành","Done","","","","","","green","Low","implemented,sidebar,ux"
"AEIC-5","Epic","","Hạ tầng & Kỹ thuật (System Foundation)","In Progress","","2026/01/20","2026/01/20","2026/01/31","2026/01/31","red","Critical","infrastructure,technical"
"AEIC-17","Task","AEIC-5","🚨 CRITICAL: Refactor App.tsx (9,573 lines) - Tách thành component modules","To Do","","","","","","red","Critical","refactor,technical-debt,todo"
"AEIC-18","Bug","AEIC-5","Fix lỗi môi trường Dev - API không phản hồi JSON trong dev mode","To Do","","","","","","orange","Medium","bug,dev,investigation"
"AEIC-19","Task","AEIC-5","Bảo mật API Key - Security audit để verify không lộ key xuống frontend","To Do","","","","","","red","High","security,audit,todo"
"AEIC-20","Story","AEIC-2","🆕 Email Open & Click Tracking - Webhook integration với email provider","To Do","","","","","","purple","Medium","new,email,tracking"
"AEIC-21","Task","AEIC-5","🆕 Unit Tests - Coverage cho API routes và business logic","To Do","","","","","","red","High","new,testing,quality"
"AEIC-22","Task","AEIC-5","🆕 Performance Optimization - Lazy loading cho large components","To Do","","","","","","orange","Medium","new,performance,optimization"
"AEIC-23","Task","AEIC-1","🆕 Data Export - Export leads to Excel với filters hiện tại","To Do","","","","","","purple","Low","new,export,feature"
"AEIC-24","Task","AEIC-2","🆕 Email Queue System - Background job processing cho bulk emails","To Do","","","","","","red","High","new,email,infrastructure"
